"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отправки формы с пройденной валидацией","2354","Успешная отправка формы регистрации с валидацией","All Tests","Tue May 05 09:58:10 UTC 2026","passed","Tue May 05 09:58:13 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullValidatedFormWithValidation"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2301","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 05 09:58:33 UTC 2026","passed","Tue May 05 09:58:35 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2272","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 05 09:58:21 UTC 2026","passed","Tue May 05 09:58:23 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2334","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 05 09:58:23 UTC 2026","passed","Tue May 05 09:58:25 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2373","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 05 09:58:13 UTC 2026","passed","Tue May 05 09:58:16 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Добавление и удаление поля в динамической форме регистрации","1962","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue May 05 09:58:06 UTC 2026","passed","Tue May 05 09:58:07 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2375","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 05 09:58:18 UTC 2026","passed","Tue May 05 09:58:20 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2336","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 05 09:58:25 UTC 2026","passed","Tue May 05 09:58:28 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2288","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 05 09:58:37 UTC 2026","passed","Tue May 05 09:58:40 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Добавление и удаление поля в динамической форме регистрации","10646","Добавление и удаление полей в динамической форме регистрации","All Tests","Tue May 05 09:57:55 UTC 2026","passed","Tue May 05 09:58:05 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","addAndDeleteFieldsInDynamicForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2319","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 05 09:58:35 UTC 2026","passed","Tue May 05 09:58:37 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2320","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 05 09:58:28 UTC 2026","passed","Tue May 05 09:58:30 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Попытка отправки простой формы регистрации с пустым аттрибутом","2329","Попытка отправки простой формы регистрации с пустым аттрибутом","All Tests","Tue May 05 09:58:16 UTC 2026","passed","Tue May 05 09:58:18 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithAnyEmptyAttributeInSimpleRegistrationForm"
"Попытка отправки формы с валидацией с не пройденной валидацией по полю","2273","Попытка отправки формы с валидацией с не пройденной валидацией по полю","All Tests","Tue May 05 09:58:30 UTC 2026","passed","Tue May 05 09:58:33 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","tryToRegisterWithFailedValidationAtAnyFieldInValidationForm"
"Проверка успешной отправки простой формы регистрации со всеми заполненными полями","2719","Успешная отправка простой формы регистрации","All Tests","Tue May 05 09:58:08 UTC 2026","passed","Tue May 05 09:58:10 UTC 2026","tests.FormsTests","Forms Tests","tests.FormsTests","registerWithFullFilledSimpleRegistrationForm"
